代码,名称,当前收盘价,MA5,MA10,突破前高价,突破日,信号
002803.SZ,吉宏股份,18.18,18.083999999999996,18.268,19.07,20250926,买入（涨停放量突破前高 + 缩量回踩5日线 + BB下轨确认）
002510.SZ,天汽模,6.78,6.794,6.962999999999999,7.35,20250926,买入（涨停放量突破前高 + 缩量回踩5日线 + BB下轨确认）
002768.SZ,国恩股份,48.91,47.56,48.178,52.1,20250918,买入（涨停放量突破前高 + 缩量回踩5日线 + BB下轨确认）
300115.SZ,长盈精密,37.0,36.532,38.073,35.39,20250922,买入（涨停放量突破前高 + 缩量回踩5日线 + BB下轨确认）
002400.SZ,省广集团,7.86,7.928,8.147,8.86,20250916,买入（涨停放量突破前高 + 缩量回踩5日线 + BB下轨确认）
002670.SZ,国盛金控,21.89,21.288,21.607,22.13,20250930,买入（涨停放量突破前高 + 缩量回踩5日线 + BB下轨确认）
301016.SZ,雷尔伟,21.25,21.558,21.791,23.62,20250916,买入（涨停放量突破前高 + 缩量回踩5日线 + BB下轨确认）
002767.SZ,先锋电子,25.03,21.31,20.165,21.14,20251020,买入（涨停放量突破前高 + 缩量回踩5日线 + BB下轨确认）
001326.SZ,联域股份,52.08,52.779999999999994,51.461,51.26,20251009,买入（涨停放量突破前高 + 缩量回踩5日线 + BB下轨确认）
300049.SZ,福瑞股份,66.55,67.172,69.603,77.77,20250915,买入（涨停放量突破前高 + 缩量回踩5日线 + BB下轨确认）
002905.SZ,金逸影视,10.38,10.193999999999999,10.180000000000001,14.98,20250918,买入（涨停放量突破前高 + 缩量回踩5日线 + BB下轨确认）
002659.SZ,凯文教育,5.61,5.550000000000001,5.612,6.34,20250926,买入（涨停放量突破前高 + 缩量回踩5日线 + BB下轨确认）
301042.SZ,安联锐视,64.66,63.314,62.253,58.38,20251009,买入（涨停放量突破前高 + 缩量回踩5日线 + BB下轨确认）
002154.SZ,报 喜 鸟,4.0,4.036,4.051,4.66,20250919,买入（涨停放量突破前高 + 缩量回踩5日线 + BB下轨确认）
002957.SZ,科瑞技术,19.37,19.631999999999998,19.76,19.13,20250922,买入（涨停放量突破前高 + 缩量回踩5日线 + BB下轨确认）
002696.SZ,百洋股份,6.56,6.590000000000001,6.453,6.63,20251014,买入（涨停放量突破前高 + 缩量回踩5日线 + BB下轨确认）
000020.SZ,深华发Ａ,14.28,14.381999999999996,14.616999999999999,15.36,20250926,买入（涨停放量突破前高 + 缩量回踩5日线 + BB下轨确认）
002145.SZ,钛能化学,5.59,5.682,5.812,5.44,20250922,买入（涨停放量突破前高 + 缩量回踩5日线 + BB下轨确认）
002919.SZ,名臣健康,17.89,17.753999999999998,16.947,15.93,20251010,买入（涨停放量突破前高 + 缩量回踩5日线 + BB下轨确认）
300736.SZ,百邦科技,12.95,12.934000000000001,13.078,13.99,20250915,买入（涨停放量突破前高 + 缩量回踩5日线 + BB下轨确认）
002048.SZ,宁波华翔,32.11,32.51800000000001,34.899,38.02,20250929,买入（涨停放量突破前高 + 缩量回踩5日线 + BB下轨确认）
002641.SZ,公元股份,4.32,4.298,4.307,4.39,20250918,买入（涨停放量突破前高 + 缩量回踩5日线 + BB下轨确认）
002294.SZ,信立泰,55.4,55.791999999999994,56.21,59.94,20250924,买入（涨停放量突破前高 + 缩量回踩5日线 + BB下轨确认）
002245.SZ,蔚蓝锂芯,18.19,17.938,18.497999999999998,18.8,20250917,买入（涨停放量突破前高 + 缩量回踩5日线 + BB下轨确认）
300952.SZ,恒辉安防,36.85,36.19,34.497,31.87,20250916,买入（涨停放量突破前高 + 缩量回踩5日线 + BB下轨确认）
300593.SZ,新雷能,19.41,19.618000000000002,20.182,21.9,20250930,买入（涨停放量突破前高 + 缩量回踩5日线 + BB下轨确认）
002394.SZ,联发股份,11.54,11.644,11.591999999999999,11.76,20251010,买入（涨停放量突破前高 + 缩量回踩5日线 + BB下轨确认）
002552.SZ,宝鼎科技,17.15,17.466,17.137999999999998,18.2,20251017,买入（涨停放量突破前高 + 缩量回踩5日线 + BB下轨确认）
300893.SZ,松原安全,35.69,35.936,36.444,34.25,20250930,买入（涨停放量突破前高 + 缩量回踩5日线 + BB下轨确认）
002183.SZ,怡 亚 通,5.06,5.036,5.154999999999999,5.49,20250916,买入（涨停放量突破前高 + 缩量回踩5日线 + BB下轨确认）
