序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,上市日期,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
52,301571,国科天成,45.12,0.49,0.22,22467,100360541.31,2.9,45.54,44.24,44.8,44.9,0.63,6.26,56.71,4.56,2024-08-21,8095696969,1619139412,0.04,0.16,9.22,6.14
53,301551,无线传媒,47.58,0.42,0.2,13057,62479250.93,2.13,48.2,47.19,47.31,47.38,0.49,3.45,62.08,7.5,2024-09-26,19032475800,1802441785,-0.02,0.0,-8.78,-15.07
54,688449,联芸科技,41.26,0.36,0.15,19467,80460370.0,1.41,41.59,41.01,41.3,41.11,0.73,2.99,-191.37,11.18,2024-11-29,18979600000,2685922726,0.1,0.19,-2.62,1.05
55,688530,欧莱新材,16.29,0.25,0.04,6242,10192337.0,1.35,16.44,16.22,16.41,16.25,0.79,1.95,94.8,3.05,2024-05-09,2607130183,521426056,0.12,0.12,-9.5,-12.04
56,688692,达梦数据,349.6,0.14,0.5,3866,134817733.0,2.45,353.75,345.2,349.25,349.1,0.71,2.54,73.42,8.3,2024-06-12,26569600000,5313920000,0.26,0.32,-5.8,-3.94
57,301629,矽电股份,175.13,-0.03,-0.05,17588,306856917.9,3.07,177.5,172.12,174.5,175.18,0.86,16.86,78.75,6.19,2025-03-24,7307697496,1826924461,-0.03,0.11,234.98,234.98
58,688721,龙图光罩,46.1,-0.07,-0.03,6802,31388521.0,2.19,46.81,45.8,46.15,46.13,0.82,2.55,67.02,5.11,2024-08-06,6154350000,1230870000,0.15,0.37,-14.87,-21.92
59,603310,巍华新材,17.29,-0.29,-0.05,13446,23234464.0,1.44,17.43,17.18,17.43,17.34,0.74,1.95,24.36,1.48,2024-08-14,5970928600,1194254880,0.06,0.06,-0.97,-6.29
60,688605,先锋精科,64.42,-0.31,-0.2,13652,88121970.0,1.28,65.08,64.25,65.0,64.62,1.0,3.59,59.95,8.77,2024-12-12,13037310324,2450867081,0.09,0.08,-18.04,-16.21
61,301535,浙江华远,19.1,-0.31,-0.06,108906,209656278.9,3.24,19.58,18.96,19.05,19.16,0.83,18.18,75.4,7.24,2025-03-27,8123117654,1144109539,0.1,0.21,288.21,288.21
62,301479,弘景光电,117.08,-0.36,-0.42,23593,280868998.94,6.1,123.8,116.63,119.85,117.5,1.28,16.61,45.03,6.29,2025-03-18,7440043772,1662938404,-0.03,0.32,179.43,179.43
63,301658,首航新能,28.51,-0.42,-0.12,67006,193702687.49,4.47,29.6,28.32,28.32,28.63,0.98,17.3,45.41,3.84,2025-04-02,11756701059,1104135537,-0.18,-0.07,141.61,141.61
64,603124,江南新材,43.42,-0.53,-0.23,37380,163552890.0,3.25,44.65,43.23,44.0,43.65,0.98,13.05,35.89,3.75,2025-03-20,6328256541,1243440511,0.02,0.02,311.95,311.95
65,301556,托普云农,86.54,-0.65,-0.57,11092,96306110.4,2.02,87.85,86.09,87.6,87.11,0.81,5.73,359.53,7.77,2024-10-17,7380131200,1674936959,0.19,0.17,0.03,0.14
66,688758,赛分科技,16.37,-0.79,-0.13,12448,20449908.0,1.09,16.52,16.34,16.51,16.5,0.73,3.15,80.06,5.44,2025-01-10,6817517055,646685162,-0.06,0.0,3.15,278.94
67,688545,兴福电子,26.53,-1.01,-0.27,28955,76985867.0,1.53,26.84,26.43,26.83,26.8,1.11,4.23,59.89,3.39,2025-01-22,9550800000,1815270786,0.08,0.19,127.14,127.14
68,301501,恒鑫生活,48.27,-1.49,-0.73,26210,127388244.75,2.37,49.27,48.11,48.67,49.0,0.58,10.84,22.39,2.53,2025-03-19,4923540000,1167380119,0.02,0.0,20.92,20.92
69,001382,新亚电缆,22.77,-1.73,-0.4,111402,254520995.73,2.93,23.28,22.6,23.23,23.17,0.68,18.52,77.48,5.7,2025-03-21,9381240000,1369376256,-0.09,0.04,207.7,207.7
70,301565,中仑新材,20.83,-1.93,-0.41,37007,77606924.79,1.88,21.2,20.8,21.1,21.24,1.04,6.17,54.23,3.54,2024-06-20,8332208300,1250008300,-0.05,-0.05,0.34,-2.66
71,603257,中国瑞林,51.66,-1.97,-1.04,46485,241525074.0,1.95,52.54,51.51,52.01,52.7,0.61,19.05,39.93,2.57,2025-04-08,6199200000,1260512421,0.12,0.02,151.75,151.75
72,001391,国货航,7.28,-2.28,-0.17,1161115,849058097.39,2.55,7.44,7.25,7.37,7.45,1.08,13.84,45.5,3.61,2024-12-30,88880655318,6107511898,0.14,0.28,0.69,-20.96
73,603395,红四方,46.28,-2.79,-1.33,42694,199163045.0,3.11,47.6,46.12,47.31,47.61,0.83,10.58,62.06,6.61,2024-11-26,9256000000,1867377868,-0.17,0.0,-1.32,-12.05
74,301662,C宏工,61.35,-2.88,-1.82,44231,277617404.07,6.82,65.33,61.02,64.55,63.17,0.63,28.04,22.29,3.26,2025-04-17,4908000000,967877539,-0.08,0.15,130.64,130.64
75,688757,胜科纳米,25.05,-3.09,-0.8,36321,91664760.0,3.83,25.99,25.0,25.61,25.85,0.84,11.15,124.45,11.19,2025-03-25,10102952724,815997037,-0.08,0.0,175.88,175.88
76,301601,惠通科技,37.97,-3.09,-1.21,56739,217377932.23,4.85,39.5,37.6,39.18,39.18,0.71,18.93,45.13,4.25,2025-01-15,5334025600,1138040865,-0.08,0.29,-4.33,221.78
77,603207,小方制药,27.49,-3.14,-0.89,39574,109704075.0,2.78,28.22,27.43,28.12,28.38,0.71,9.89,20.48,3.68,2024-08-26,4413793493,1099600000,0.04,0.15,-0.47,-2.14
78,603120,肯特催化,37.84,-4.03,-1.59,82080,308069707.0,3.37,38.38,37.05,38.01,39.43,0.76,37.07,36.59,3.04,2025-04-16,3420736000,837922224,0.5,0.8,152.27,152.27
79,001335,信凯科技,37.56,-5.1,-2.02,69699,263872760.11,3.71,38.77,37.3,38.58,39.58,0.68,30.35,31.73,3.88,2025-04-15,3520857874,862513605,-0.05,-0.03,193.44,193.44
80,301665,泰禾股份,28.18,-5.94,-1.78,118750,339007524.23,4.81,29.5,28.06,29.43,29.96,1.0,33.07,48.54,3.72,2025-04-11,12681000000,1011839224,-0.04,0.0,174.39,174.39
81,301392,汇成真空,111.4,-6.39,-7.6,26909,300187901.42,6.55,117.0,109.2,117.0,119.0,1.06,11.96,129.56,15.18,2024-06-05,11140000000,2506500000,-0.18,0.83,74.8,80.38
82,001395,亚联机械,53.08,-9.47,-5.55,102320,557561608.28,9.77,58.5,52.77,58.39,58.63,1.1,53.04,20.1,4.13,2025-01-27,4630699200,1023934644,-0.23,-0.28,178.2,178.2
