序号,股票代码,股票简称,涨跌幅,换手率,最新价,前期高点,前期高点日期
158,600703,三安光电,0.91,0.72,12.21,12.18,2025-04-23
159,600719,大连热电,1.77,12.2,6.9,6.82,2025-04-01
160,600726,华电能源,10.0,12.31,2.75,2.5,2025-04-25
161,600744,华银电力,9.91,0.85,4.66,4.24,2025-04-25
162,600745,闻泰科技,3.73,1.83,33.64,32.43,2025-04-25
163,600768,宁波富邦,0.75,2.81,9.42,9.37,2025-04-03
164,600771,广誉远,0.37,8.01,18.97,18.9,2025-04-25
165,600780,通宝能源,1.15,3.41,6.18,6.11,2025-04-25
166,600782,新钢股份,2.96,3.33,4.18,4.06,2025-04-25
167,600803,新奥股份,1.26,0.33,20.1,19.94,2025-04-09
168,600822,上海物贸,9.96,15.5,11.59,10.54,2025-04-25
169,600828,茂业商业,10.12,3.32,4.79,4.35,2025-04-25
170,600863,内蒙华电,1.24,1.93,4.09,4.08,2025-04-16
171,600886,国投电力,2.47,0.78,15.33,14.96,2025-04-25
172,600895,张江高科,0.27,2.83,26.15,26.12,2025-04-22
173,600900,长江电力,0.68,0.3,29.72,29.58,2025-04-18
174,600901,江苏金租,5.57,1.84,5.5,5.36,2025-04-02
175,600905,三峡能源,0.93,0.57,4.33,4.33,2025-04-10
176,600919,江苏银行,2.01,0.84,10.13,9.96,2025-04-24
177,600926,杭州银行,0.82,0.9,14.69,14.64,2025-04-16
178,600956,新天绿能,0.14,0.24,7.26,7.26,2025-04-03
179,600995,南网储能,0.8,1.53,10.13,10.05,2025-04-25
180,601077,渝农商行,1.03,0.7,6.86,6.79,2025-04-25
181,601128,常熟银行,1.51,1.38,7.37,7.26,2025-04-18
182,601169,北京银行,1.61,0.37,6.3,6.23,2025-04-18
183,601229,上海银行,1.44,0.42,10.6,10.59,2025-04-18
184,601288,农业银行,1.08,0.1,5.61,5.59,2025-04-24
185,601326,秦港股份,1.25,0.53,3.24,3.21,2025-04-17
186,601330,绿色动力,5.92,4.99,7.52,7.21,2025-04-08
187,601333,广深铁路,1.03,0.74,2.93,2.9,2025-04-25
188,601398,工商银行,1.11,0.11,7.29,7.24,2025-04-24
189,601555,东吴证券,1.15,1.5,7.89,7.8,2025-04-25
190,601568,北元集团,0.48,0.48,4.18,4.16,2025-04-25
191,601658,邮储银行,0.75,0.21,5.38,5.34,2025-04-25
192,601665,齐鲁银行,0.79,0.98,6.35,6.3,2025-04-25
193,601818,光大银行,2.1,0.37,3.89,3.85,2025-04-24
194,601825,沪农商行,1.74,0.35,8.79,8.71,2025-04-18
195,601900,南方传媒,5.76,3.21,16.7,16.43,2025-04-03
196,601916,浙商银行,0.66,0.62,3.03,3.02,2025-04-24
197,601939,建设银行,1.95,1.15,9.39,9.27,2025-04-24
198,601956,东贝集团,10.0,1.03,7.48,6.8,2025-04-25
199,601963,重庆银行,4.68,1.17,10.74,10.34,2025-04-24
200,601991,大唐发电,1.63,1.77,3.12,3.07,2025-04-25
201,601997,贵阳银行,0.67,1.1,6.0,5.96,2025-04-25
202,603065,宿迁联盛,10.06,10.09,8.42,7.86,2025-04-24
203,603067,振华股份,1.81,5.34,23.02,22.61,2025-04-25
204,603109,神驰机电,2.8,4.0,19.84,19.81,2025-04-23
205,603113,金能科技,9.93,3.39,6.09,5.87,2025-04-01
206,603121,华培动力,1.19,4.65,22.93,22.66,2025-04-25
207,603156,养元饮品,6.08,0.81,25.31,24.32,2025-04-24
208,603189,网达软件,4.04,5.91,17.75,17.17,2025-04-23
209,603230,内蒙新华,2.93,3.21,12.65,12.29,2025-04-25
210,603256,宏和科技,2.0,1.68,9.2,9.02,2025-04-25
211,603266,天龙股份,3.83,8.84,20.36,20.08,2025-04-23
212,603277,银都股份,0.73,0.62,20.58,20.43,2025-04-25
213,603280,南方路机,2.94,52.78,25.59,24.86,2025-04-25
214,603289,泰瑞机器,3.62,4.48,8.58,8.28,2025-04-25
215,603351,威尔药业,10.0,2.91,30.69,29.71,2025-04-24
216,603386,骏亚科技,2.99,4.72,9.99,9.89,2025-04-23
217,603444,吉比特,2.93,2.84,233.21,227.1,2025-04-24
218,603527,众源新材,2.08,4.33,9.33,9.25,2025-04-23
219,603530,神马电力,0.2,1.1,24.68,24.63,2025-04-25
220,603533,掌阅科技,5.24,8.87,19.87,19.8,2025-04-21
221,603583,捷昌驱动,2.94,5.41,39.87,39.06,2025-04-23
222,603585,苏利股份,0.99,3.62,15.25,15.1,2025-04-25
223,603586,金麒麟,10.02,0.98,14.94,14.91,2025-04-02
224,603590,康辰药业,7.43,3.12,30.66,30.18,2025-04-15
225,603605,珀莱雅,10.0,7.02,93.18,84.71,2025-04-25
226,603655,朗博科技,3.95,2.69,24.46,24.19,2025-04-03
227,603665,康隆达,6.01,2.2,19.24,18.68,2025-04-24
228,603668,天马科技,2.81,2.46,12.81,12.53,2025-04-16
229,603696,安记食品,7.95,28.02,16.03,15.03,2025-04-22
230,603829,洛凯股份,0.75,2.32,14.71,14.6,2025-04-25
231,603858,步长制药,6.77,2.35,16.08,15.37,2025-04-03
232,603969,银龙股份,0.3,4.19,6.77,6.75,2025-04-25
233,605003,众望布艺,4.99,2.84,21.05,20.07,2025-04-23
234,605028,世茂能源,5.42,6.21,18.09,17.25,2025-04-02
